SMILES,TITLE,dockvalent_id,number_of_overlapping_fragments,overlapping_fragments,overlap_score
NC(=O)[C@@H]1CCCN1[C@H]1[C@@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@@H]2CCC1,TAM-UNI-c14-16,667_ACL2ACR.0,0,,1125.5648173411673
NC(=O)[C@@H]1CCCN1[C@H]1[C@H]2[NH2+]C[C@@H](CCNC(=O)C)[C@H]2CCC1,TAM-UNI-c14-16,667_ACL.0,0,,1344.6391728321887
F[C@@H]1C[C@H]([C@@H](N[C@H]2CCCNC2)C(=O)NC2CCNCC2)[C@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@@H]2C1,TAM-UNI-c14-22,673_ACL2ACR.0,0,,632.3726536548653
F[C@@H]1C[C@H]([C@@H](N[C@@H]2CCCNC2)C(=O)NC2CCNCC2)[C@@H]2[NH2+]C[C@H](CCNC(=O)C)[C@@H]2C1,TAM-UNI-c14-22,673_ACL.0,0,,1076.7799377220383
CS(=O)(=O)N(C[C@H]1CCN2[C@H](CCc3ccc(cc23)S(=O)(=O)N)C1)C1=CCC(=C1NC(=O)C)[C@H](O)N1CCSCC1,STE-NAN-baf-3,716_NCL.0,0,,1022.7717458415143
CS(=O)(=O)N(C[C@H]1CCN2[C@H](CCc3ccc(cc23)S(=O)(=O)N)C1)C1=CCC(=C1NC(=O)CC)[C@H](O)N1CCSCC1,STE-NAN-baf-3,716_NCL2ACR.0,0,,1049.0313914501867
CCC(=O)NCCc1ccccc1,ANT-DIA-b7f-4,733_ACL2ACR.0,0,,851.6176287758976
CC(=O)NCCc1ccccc1,ANT-DIA-b7f-4,733_ACL.0,9,"x1418,x1420,x0759,x1392,x1386,x0831,x0830,x0692,x0770",2275.8629489647838
CCNc1ccc(cc1CCNS(=O)(=O)C)C=[NH2],ANT-DIA-b7f-8,737_NIT.0,2,"x1375,x1311",1671.804333654498
CS(=O)(=O)NCCc1cc(ccc1NC(=O)N1CCOCC1)C=[NH2],ANT-DIA-b7f-9,738_NIT.0,0,,1074.9564429825605
NS(=O)(=O)c1ccc(cc1)N1CCC(CSc2ccc(cc2)C=[NH2])CC1,WAR-XCH-b72-34,774_NIT.0,0,,835.0222370565148
CS(=O)(=O)NCC[C@H]1[C@@H]2[NH2+]C[C@H](CCNC(=O)CC)[C@@H]2C[C@@H](Cl)C1,ROB-UNI-b2e-1,885_ACL2ACR.0,0,,1395.1299304068878
CS(=O)(=O)NCC[C@H]1[C@@H]2[NH2+]C[C@@H](CCNC(=O)C)[C@@H]2C[C@@H](Cl)C1,ROB-UNI-b2e-1,885_ACL.0,0,,1041.2027391447314
CC[N@@H+]1C[C@@H](CCNS(=O)(=O)C)[C@@H]2C[C@H](C[C@H](CCNS(=O)(=O)C)[C@@H]12)C=[NH2],ROB-UNI-b2e-3,887_NIT.0,0,,1688.6895308119433
CC[N@@H+]1C[C@H](CCNC(=O)CC)[C@@H]2C[C@H](C[C@@H](CCNS(=O)(=O)C)[C@H]12)C#N,ROB-UNI-b2e-5,889_ACL2ACR.0,0,,1178.1929309503794
CC[N@H+]1C[C@H](CCNC(=O)C)[C@@H]2C[C@@H](C[C@H](CCNS(=O)(=O)C)[C@H]12)C#N,ROB-UNI-b2e-5,889_ACL.0,0,,1152.8397972091968
CC[N@H+]1C[C@H](CCNC(=O)C)[C@@H]2C[C@H](C[C@H](CCNS(=O)(=O)C)[C@H]12)C=[NH2],ROB-UNI-b2e-5,889_NIT.0,0,,1733.4959820664
C[C@H](NC(=O)C)[C@@H]1[C@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@H]2C[C@H](Cl)C1,ROB-UNI-b2e-6,890_ACL2ACR.0,0,,1554.1484554278775
C[C@H](NC(=O)C)[C@@H]1[C@@H]2[NH2+]C[C@H](CCNC(=O)C)[C@@H]2C[C@H](Cl)C1,ROB-UNI-b2e-6,890_ACL.0,0,,1592.3258110799286
C[C@H](NC(=O)C)[C@@H]1[C@@H]2[NH2+]C[C@H](CCNC(=O)CC)[C@@H]2C[C@@H](C1)C#N,ROB-UNI-b2e-7,891_ACL2ACR.0,0,,1188.5395496172564
C[C@H](NC(=O)C)[C@H]1[C@@H]2[NH2+]C[C@@H](CCNC(=O)C)[C@@H]2C[C@@H](C1)C#N,ROB-UNI-b2e-7,891_ACL.0,0,,1530.1013046691849
C[C@H](NC(=O)C)[C@@H]1[C@@H]2[NH2+]C[C@H](CCNC(=O)C)[C@@H]2C[C@@H](C1)C=[NH2],ROB-UNI-b2e-7,891_NIT.0,0,,1584.1561538783344
CC[N@@H+]1C[C@H](CCNC(=O)CC)[C@@H]2C[C@H](C[C@@H]([C@H](C)NC(=O)C)[C@H]12)C#N,ROB-UNI-b2e-8,892_ACL2ACR.0,0,,1027.7999266358909
CC[N@@H+]1C[C@@H](CCNC(=O)C)[C@@H]2C[C@H](C[C@@H]([C@H](C)NC(=O)C)[C@@H]12)C#N,ROB-UNI-b2e-8,892_ACL.0,0,,582.6053636262809
CC[N@@H+]1C[C@H](CCNC(=O)C)[C@@H]2C[C@@H](C[C@@H]([C@H](C)NC(=O)C)[C@H]12)C=[NH2],ROB-UNI-b2e-8,892_NIT.0,0,,1302.235500487768
CS(=O)(=O)NCCc1cc(Cl)cc2c(CCNC(=O)CC)ccnc12,ROB-UNI-b2e-9,893_ACL2ACR.0,0,,1019.3837193542073
CS(=O)(=O)NCCc1cc(Cl)cc2c(CCNC(=O)C)ccnc12,ROB-UNI-b2e-9,893_ACL.0,0,,1060.2885201810009
CS(=O)(=O)NCCc1cc(cc2c(CCNC(=O)CC)ccnc12)C#N,ROB-UNI-b2e-10,894_ACL2ACR.0,0,,1246.3621469141885
CS(=O)(=O)NCCc1cc(cc2c(CCNC(=O)C)ccnc12)C#N,ROB-UNI-b2e-10,894_ACL.0,0,,1054.093002577065
CC(=O)NCCc1ccnc2c(CCNS(=O)(=O)C)cc(cc12)C=[NH2],ROB-UNI-b2e-10,894_NIT.0,0,,1857.821631896164
CCC(=O)NCC[C@@H]1C[N@H+](CC(=O)N2CCOCC2)[C@@H]2CC[C@H](Cl)C[C@H]12,ROB-UNI-b2e-11,895_ACL2ACR.0,0,,1178.9995583240034
CC(=O)NCC[C@@H]1C[N@@H+](CC(=O)N2CCOCC2)[C@H]2CC[C@@H](Cl)C[C@@H]12,ROB-UNI-b2e-11,895_ACL.0,0,,1060.5446812096695
CCC(=O)NCC[C@@H]1C[N@@H+](CC(=O)N2CCOCC2)[C@@H]2CC[C@@H](C[C@H]12)C#N,ROB-UNI-b2e-12,896_ACL2ACR.0,0,,1207.1267530932685
CC(=O)NCC[C@@H]1C[N@H+](CC(=O)N2CCOCC2)[C@@H]2CC[C@@H](C[C@H]12)C#N,ROB-UNI-b2e-12,896_ACL.0,0,,707.249199814778
CC(=O)NCC[C@@H]1C[N@H+](CC(=O)N2CCOCC2)[C@@H]2CC[C@H](C[C@H]12)C=[NH2],ROB-UNI-b2e-12,896_NIT.0,0,,1344.4278771484258
CC(=O)N1CCN(Cc2cnc(nc2)c2ccccc2)CC1,MAK-UNK-af8-1,925_NCL.0,2,"x1358,x1351",1702.5897527433785
CCC(=O)N1CCN(Cc2cnc(nc2)c2ccccc2)CC1,MAK-UNK-af8-1,925_NCL2ACR.0,0,,1354.9742381593476
C[C@@H](CCc1ccccc1)N1CCN(CC1)C(=O)C,MAK-UNK-af8-2,926_NCL.0,3,"x1334,x1336,x1385",1683.523328154607
Cc1cccc(C[C@H]2CCN([C@H](C2)C(=O)O)C(=O)C)c1,MAK-UNK-af8-5,929_NCL.0,2,"x1358,x1351",1545.125736275882
Cc1cccc(C[C@H]2CCN([C@H](C2)C(=O)O)C(=O)CC)c1,MAK-UNK-af8-5,929_NCL2ACR.0,0,,849.4090036544832
Cc1cccc(CC2CCN(CC2)C(=O)C)c1,MAK-UNK-af8-6,930_NCL.0,5,"x0759,x0831,x0830,x0692,x0770",1926.2234024541215
Cc1cccc(CC2CCN(CC2)C(=O)CC)c1,MAK-UNK-af8-6,930_NCL2ACR.0,0,,1896.2253457749255
CCOC(=O)[C@@H]1C[C@H](Cc2cccc(C)c2)CCN1C(=O)C,MAK-UNK-af8-7,931_NCL.0,0,,1854.978077010744
CCOC(=O)[C@@H]1C[C@H](Cc2cccc(C)c2)CCN1C(=O)CC,MAK-UNK-af8-7,931_NCL2ACR.0,0,,1574.0068390399317
Cc1cccc(C[C@@H]2C[C@H]3CC[C@@H](C2)N3C(=O)C)c1,MAK-UNK-af8-8,932_NCL.0,1,x1420,2024.0746473307768
Cc1cccc(C[C@@H]2C[C@H]3CC[C@@H](C2)N3C(=O)CC)c1,MAK-UNK-af8-8,932_NCL2ACR.0,0,,1634.875292847163
COC(=O)[C@@H]1C[C@H](Cc2cccc(C)c2)CCN1C(=O)C,MAK-UNK-af8-9,933_NCL.0,1,x1358,1731.6517740652448
COC(=O)[C@@H]1C[C@H](Cc2cccc(C)c2)CCN1C(=O)CC,MAK-UNK-af8-9,933_NCL2ACR.0,0,,1545.2265900156506
Cc1cccc(CN2CCN(CC2)C(=O)CNC=O)c1,MAK-UNK-af8-10,934_NCL.0,1,x1336,1559.9966778346854
Cc1cccc(CN2CCN(CC2)C(=O)[C@@H](C)NC=O)c1,MAK-UNK-af8-10,934_NCL2ACR.0,0,,1590.6193957999012
COC(=O)[C@H](NS(=O)(=O)NS(=O)(=O)N)c1ccc(CN2CCN(CC2)C(=O)C)cc1C,MAK-UNK-af8-14,938_NCL.0,0,,1099.1498120979256
COC(=O)[C@H](NS(=O)(=O)NS(=O)(=O)N)c1ccc(CN2CCN(CC2)C(=O)CC)cc1C,MAK-UNK-af8-14,938_NCL2ACR.0,0,,1113.587397494048
C[C@H](O)[C@@H](Cc1c(CN2CCN(CC2)C(=O)C)cccc1C)NC(=O)CS(=O)(=O)N,MAK-UNK-af8-15,939_NCL.0,0,,1250.0807955736611
C[C@H](O)[C@@H](Cc1c(CN2CCN(CC2)C(=O)CC)cccc1C)NC(=O)CS(=O)(=O)N,MAK-UNK-af8-15,939_NCL2ACR.0,0,,978.4756425660972
C[NH2+][C@H]1[C@H](O)OC[C@@H](O)[C@@H]1O[C@H](C(=O)NS(=O)(=O)N)c1ccc(CN2CCN(CC2)C(=O)C)cc1C,MAK-UNK-af8-16,940_NCL.0,0,,862.452362047837
C[NH2+][C@H]1[C@H](O)OC[C@@H](O)[C@@H]1O[C@H](C(=O)NS(=O)(=O)N)c1ccc(CN2CCN(CC2)C(=O)CC)cc1C,MAK-UNK-af8-16,940_NCL2ACR.0,0,,912.7954142868973
C[C@H](CNc1cc(C)cc(CN2CCN(CC2)C(=O)CC)c1)c1ccc(cc1)S(=O)(=O)N,MAK-UNK-af8-17,941_NCL2ACR.0,0,,1005.8862948914991
CN(c1cc(ncn1)S(=O)(=O)N)c1ccc(O)cc1Oc1ccc(C)cc1CN1CCN(CC1)C(=O)C,MAK-UNK-af8-18,942_NCL.0,0,,1190.2563112704674
CN(c1cc(ncn1)S(=O)(=O)N)c1ccc(O)cc1Oc1ccc(C)cc1CN1CCN(CC1)C(=O)CC,MAK-UNK-af8-18,942_NCL2ACR.0,0,,958.2020594632312
CC[NH2+][C@H]1C[C@H](CC[C@@H]1OC#N)Oc1cccc(CN2CCN(CC2)C(=O)C)c1,MAK-UNK-af8-19,943_NCL.0,0,,1209.9556306871752
CC[NH2+][C@H]1C[C@H](CC[C@@H]1OC#N)Oc1cccc(CN2CCN(CC2)C(=O)CC)c1,MAK-UNK-af8-19,943_NCL2ACR.0,0,,993.1241224194853
CC[NH2+][C@@H]1C[C@@H](CC[C@H]1OC=N)Oc1cccc(CN2CCN(CC2)C(=O)CCl)c1,MAK-UNK-af8-19,943_NIT.0,0,,1094.3950286296454
CCN[C@H](COc1cccc(CN2CCN(CC2)C(=O)CC)c1)OCC#N,MAK-UNK-af8-20,944_NCL2ACR.0,0,,1160.7265232979166
CC[NH2+][C@@H](COc1cccc(CN2CCN(CC2)C(=O)CCl)c1)OCC=[NH2],MAK-UNK-af8-20,944_NIT.0,0,,1096.4393560659928
CC[NH2+][C@@H]1C[C@H](C[C@@H](O)[C@@H]1OC#N)c1cccc(CN2CCN(CC2)C(=O)C)c1,MAK-UNK-af8-21,945_NCL.0,0,,1129.6999020590786
CC[NH2+][C@@H]1C[C@H](C[C@@H](O)[C@@H]1OC#N)c1cccc(CN2CCN(CC2)C(=O)CC)c1,MAK-UNK-af8-21,945_NCL2ACR.0,0,,999.552554196086
CCNc1ccc(Nc2cc(C)cc(CN3CCN(CC3)C(=O)C)c2)c(c1)C#N,MAK-UNK-af8-22,946_NCL.0,0,,1354.768035833507
CCNc1ccc(Nc2cc(C)cc(CN3CCN(CC3)C(=O)CC)c2)c(c1)C#N,MAK-UNK-af8-22,946_NCL2ACR.0,0,,899.8059766402357
CCNc1ccc(Nc2cc(C)cc(CN3CCN(CC3)C(=O)CCl)c2)c(c1)C=[NH2],MAK-UNK-af8-22,946_NIT.0,0,,1211.547961447503
C[C@H]1C[C@@H](C[NH+]2CCN(CC2)C(=O)CC)C[C@H](C1)[NH2+]CCNc1ccc(cn1)C#N,MAK-UNK-af8-23,947_NCL2ACR.0,0,,920.7940224352395
C[C@@H]1C[C@H](C[NH2+]CNc2ccc(cn2)C#N)C[C@H](C[NH+]2CCN(CC2)C(=O)CC)C1,MAK-UNK-af8-24,948_NCL2ACR.0,0,,494.8235136431162
C[C@@H]1O[C@@H](CN2CCN(CC2)C(=O)CC)[C@H](O)[C@@H]1OCCCNc1ccc(cn1)C#N,MAK-UNK-af8-25,949_NCL2ACR.0,0,,921.8444931488248
C[C@@H]1O[C@@H](CN2CCN(CC2)C(=O)CCl)[C@H](O)[C@@H]1OCCCNc1ccc(cn1)C=[NH2],MAK-UNK-af8-25,949_NIT.0,0,,637.6261593729399
CO[C@@H]1CN(C[C@H]1CN1CCN(CC1)C(=O)C)C(=O)CCNc1ccc(cn1)C#N,MAK-UNK-af8-26,950_NCL.0,0,,1189.9662821447814
CCNc1ccc(NCc2cnc(C)c(CN3CCN(CC3)C(=O)C)c2)cn1,MAK-UNK-af8-27,951_NCL.0,0,,1276.3510616083993
CCNc1ccc(NCc2cnc(C)c(CN3CCN(CC3)C(=O)CC)c2)cn1,MAK-UNK-af8-27,951_NCL2ACR.0,0,,1030.1538775167696
CCNc1ccc(Oc2nncc3cn(C)c(CN4CCN(CC4)C(=O)C)c23)cn1,MAK-UNK-af8-28,952_NCL.0,0,,1148.3214584837892
