SMILES,TITLE,dockvalent_id,cluster
Fc1cc(CN2CCN(CC2)C(=O)CCl)c2CC=C(CCNC(=O)C)c2c1,DAR-DIA-fb2-10,47_ACL.0,16
CC(=O)NCC[C@H]1C[NH2+][C@H]2[C@@H](CN3CCN(CC3)C(=O)C)C[C@@H](F)C[C@@H]12,DAR-DIA-fb2-11,48_NCL.0,0
CC(=O)NCC[C@H]1C[NH2+][C@H]2[C@@H](CN3CCN(CC3)C(=O)CC)C[C@@H](F)C[C@@H]12,DAR-DIA-fb2-11,48_NCL2ACR.0,0
F[C@H]1C[C@H](CN2CCN(CC2)C(=O)CCl)[C@H]2[NH2+]C[C@@H](CCNC(=O)C)[C@H]2C1,DAR-DIA-fb2-11,48_ACL.0,0
NS(=O)(=O)c1ccc2c(CN3CCN(CC3)C(=O)C)cc(F)cc2c1,DAR-DIA-fb2-12,49_NCL.0,3
NS(=O)(=O)c1ccc2c(CN3CCN(CC3)C(=O)CC)cc(F)cc2c1,DAR-DIA-fb2-12,49_NCL2ACR.0,16
COc1cc(CN2CCN(CC2)C(=O)C)c2CC=C(CCNC(=O)C)c2c1,DAR-DIA-fb2-13,50_NCL.0,3
COc1cc(CN2CCN(CC2)C(=O)CC)c2CC=C(CCNC(=O)C)c2c1,DAR-DIA-fb2-13,50_NCL2ACR.0,16
COc1cc(CN2CCN(CC2)C(=O)CCl)c2CC=C(CCNC(=O)CC)c2c1,DAR-DIA-fb2-13,50_ACL2ACR.0,0
COc1cc(CN2CCN(CC2)C(=O)CCl)c2CC=C(CCNC(=O)C)c2c1,DAR-DIA-fb2-13,50_ACL.0,16
CO[C@H]1C[C@@H](CN2CCN(CC2)C(=O)C)[C@@H]2[NH2+]C[C@H](CCNC(=O)C)[C@@H]2C1,DAR-DIA-fb2-14,51_NCL.0,0
CO[C@@H]1C[C@H](CN2CCN(CC2)C(=O)CC)[C@@H]2[NH2+]C[C@H](CCNC(=O)C)[C@@H]2C1,DAR-DIA-fb2-14,51_NCL2ACR.0,0
CO[C@@H]1C[C@H](CN2CCN(CC2)C(=O)CCl)[C@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@H]2C1,DAR-DIA-fb2-14,51_ACL2ACR.0,0
CO[C@@H]1C[C@@H](CN2CCN(CC2)C(=O)CCl)[C@H]2[NH2+]C[C@@H](CCNC(=O)C)[C@H]2C1,DAR-DIA-fb2-14,51_ACL.0,0
CC(=O)NCC[C@H]1C[NH2+][C@H]2[C@@H](CN3CCN(CC3)C(=O)C)C[C@@H](Cl)C[C@@H]12,DAR-DIA-fb2-15,52_NCL.0,0
CC(=O)NCC[C@@H]1C[NH2+][C@@H]2[C@H](CN3CCN(CC3)C(=O)CC)C[C@H](Cl)C[C@H]12,DAR-DIA-fb2-15,52_NCL2ACR.0,0
CCC(=O)NCC[C@@H]1C[NH2+][C@@H]2[C@H](CN3CCN(CC3)C(=O)CCl)C[C@H](Cl)C[C@@H]12,DAR-DIA-fb2-15,52_ACL2ACR.0,0
CC(=O)NCC[C@H]1C[NH2+][C@H]2[C@@H](CN3CCN(CC3)C(=O)CCl)C[C@@H](Cl)C[C@@H]12,DAR-DIA-fb2-15,52_ACL.0,0
CC(=O)N1CCN(Cc2cc(ccc2CNC(=O)N2CCOCC2)C#N)CC1,DAR-DIA-fb2-16,53_NCL.0,3
CCC(=O)N1CCN(Cc2cc(ccc2CNC(=O)N2CCOCC2)C#N)CC1,DAR-DIA-fb2-16,53_NCL2ACR.0,16
CC(=O)N1CCN(Cc2cc(cnc2CNC(=O)N2CCOCC2)C#N)CC1,DAR-DIA-fb2-17,54_NCL.0,3
CCC(=O)N1CCN(Cc2cc(cnc2CNC(=O)N2CCOCC2)C#N)CC1,DAR-DIA-fb2-17,54_NCL2ACR.0,16
COc1cnc(CNC(=O)N2CCOCC2)c(CN2CCN(CC2)C(=O)C)c1,DAR-DIA-fb2-18,55_NCL.0,3
COc1cnc(CNC(=O)N2CCOCC2)c(CN2CCN(CC2)C(=O)CC)c1,DAR-DIA-fb2-18,55_NCL2ACR.0,16
CC(=O)NCC[C@@H]1C[NH2+][C@@H]2[C@H](CCC[C@H]12)[C@H](N1CCN(CC1)C(=O)C)[C@@H]1CC[C@H](Br)S1,PAU-WEI-f73-1,121_NCL.0,0
CC(=O)NCC[C@H]1C[NH2+][C@H]2[C@@H](CCC[C@H]12)[C@H](N1CCN(CC1)C(=O)CC)[C@@H]1CC[C@H](Br)S1,PAU-WEI-f73-1,121_NCL2ACR.0,0
CC(=O)NCC[C@H]1C[NH2+][C@H]2[C@H](CCC[C@@H]12)[C@H](N1CCN(CC1)C(=O)CCl)[C@H]1CC[C@@H](Br)S1,PAU-WEI-f73-1,121_ACL.0,0
CC(=O)N1CCN(CC1)[C@H](c1ccc(Br)s1)c1cc(ccc1CNC(=O)N1CCOCC1)C#N,PAU-WEI-f73-2,122_NCL.0,3
CCC(=O)N1CCN(CC1)[C@H](c1ccc(Br)s1)c1cc(ccc1CNC(=O)N1CCOCC1)C#N,PAU-WEI-f73-2,122_NCL2ACR.0,16
CCNc1ncc(cc1[C@H](N1CCN(CC1)C(=O)C)c1ccc(Br)s1)C#N,PAU-WEI-f73-3,123_NCL.0,3
CCNc1ncc(cc1[C@H](N1CCN(CC1)C(=O)CC)c1ccc(Br)s1)C#N,PAU-WEI-f73-3,123_NCL2ACR.0,16
CO[C@H]1[C@@H](Cl)C[C@H]2[NH2+]C[C@@H]([C@@H](C)CNC(=O)CC)[C@H]2C1,JOH-MSK-ec6-1,200_ACL2ACR.0,0
CO[C@@H]1[C@@H](Cl)C[C@H]2[NH2+]C[C@@H]([C@@H](C)CNC(=O)C)[C@H]2C1,JOH-MSK-ec6-1,200_ACL.0,4
COc1ccc2cccc(CCNC(=O)CC)c2c1,JOH-MSK-ec6-3,202_ACL2ACR.0,2
COc1ccc2cccc(CCNC(=O)C)c2c1,JOH-MSK-ec6-3,202_ACL.0,2
NS(=O)(=O)[C@H]1C[C@@H]2[C@H]([NH2+]1)N1CN(CC[C@H]1CC2)C(=O)CC,HAN-UNI-e16-1,309_ACL2ACR.0,18
NS(=O)(=O)[C@@H]1C[C@H]2[C@@H]([NH2+]1)N1CN(CC[C@H]1CC2)C(=O)C,HAN-UNI-e16-1,309_ACL.0,9
CS(=O)(=O)NCC[C@@H]1[C@@H]2[NH2+]C[C@H](CCNC(=O)CC)[C@@H]2CCC1,ELE-IMP-dfb-2,323_ACL2ACR.0,0
CS(=O)(=O)NCC[C@H]1[C@H]2[NH2+]C[C@@H](CCNC(=O)C)[C@H]2CCC1,ELE-IMP-dfb-2,323_ACL.0,0
CC(=O)NCC[C@@H]1C[NH2+][C@@H]2CC[C@@H](C[C@H]12)C#N,MAT-GIT-dea-1,352_ACL.0,7
CCC(=O)NCC[C@@H]1C[NH2+][C@H]2CC[C@@H](C#N)[C@@H](Cl)[C@@H]12,MAT-GIT-dea-2,353_ACL2ACR.0,0
CC(=O)NCC[C@@H]1C[NH2+][C@H]2CC[C@@H](C#N)[C@@H](Cl)[C@@H]12,MAT-GIT-dea-2,353_ACL.0,7
Cc1c(nco1)[C@H]1[C@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@H]2[C@H](Cl)[C@H](C1)C#N,MAT-GIT-dea-3,354_ACL2ACR.0,0
