SMILES,TITLE,dockvalent_id,number_of_overlapping_fragments,overlapping_fragments,overlap_score,scaffold,scaffold_generic
CCC(=O)NCC[C@@H]1C[NH2+][C@@H]2[C@@H](CCC[C@H]12)[C@H](CCC1CCCCC1)[NH+]1CCN(CC1)C(=O)CCl,PAU-WEI-b9b-7,723_ACL2ACR.0,0,,1029.3584508211302,C1CCC(CCC(C2CCCC3CC[NH2+]C32)[NH+]2CCNCC2)CC1,C1CCC(CCC(C2CCCCC2)C2CCCC3CCCC32)CC1
CC(=O)NCC[C@H]1C[NH2+][C@H]2[C@@H](CCC[C@@H]12)[C@H](CCC1CCCCC1)[NH+]1CCN(CC1)C(=O)CCl,PAU-WEI-b9b-7,723_ACL.0,0,,872.0404973969389,C1CCC(CCC(C2CCCC3CC[NH2+]C32)[NH+]2CCNCC2)CC1,C1CCC(CCC(C2CCCCC2)C2CCCC3CCCC32)CC1
CC(=O)NCC[C@H]1C[NH2+][C@H]2[C@@H](CCC[C@@H]12)[C@H](CC[C@H]1CC[C@@H](C)CC1)[NH+]1CCN(CC1)C(=O)CC,PAU-WEI-b9b-8,724_NCL2ACR.0,0,,981.6701140320627,C1CCC(CCC(C2CCCC3CC[NH2+]C32)[NH+]2CCNCC2)CC1,C1CCC(CCC(C2CCCCC2)C2CCCC3CCCC32)CC1
CC(=O)NCC[C@H]1C[NH2+][C@H]2[C@H](CCC[C@@H]12)[C@H](CC[C@H]1CC[C@H](CC1)C(F)(F)F)[NH+]1CCN(CC1)C(=O)CC,PAU-WEI-b9b-9,725_NCL2ACR.0,0,,940.5739459347096,C1CCC(CCC(C2CCCC3CC[NH2+]C32)[NH+]2CCNCC2)CC1,C1CCC(CCC(C2CCCCC2)C2CCCC3CCCC32)CC1
Cc1c(CCNC(=O)c2ccccc2F)cncc1NC(=O)CC,DOU-UNK-b53-1,855_ACL2ACR.0,0,,1365.9033508345158,O=C(NCCc1cccnc1)c1ccccc1,CC(CCCC1CCCCC1)C1CCCCC1
Cc1c(CCNC(=O)c2ccccc2F)cncc1NC(=O)C,DOU-UNK-b53-1,855_ACL.0,0,,1433.1503975578814,O=C(NCCc1cccnc1)c1ccccc1,CC(CCCC1CCCCC1)C1CCCCC1
CCC(=O)Nc1cncc2c1CCN(C2)C(=O)NC1CCCCC1,DOU-UNK-b53-2,856_ACL2ACR.0,0,,1395.0446634233251,O=C(NC1CCCCC1)N1CCc2ccncc2C1,CC(CC1CCCCC1)C1CCC2CCCCC2C1
CC(=O)Nc1cncc2c1CCN(C2)C(=O)NC1CCCCC1,DOU-UNK-b53-2,856_ACL.0,0,,1380.0804837157098,O=C(NC1CCCCC1)N1CCc2ccncc2C1,CC(CC1CCCCC1)C1CCC2CCCCC2C1
Cc1ccncc1N1[C@@H]2[C@H](CC1=O)N(CCN2C(=O)CC)[C@H](O)c1cccs1,DOU-UNK-b53-3,857_ACL2ACR.0,0,,1468.9632790263684,O=C1CC2C(NCCN2Cc2cccs2)N1c1cccnc1,CC1CC2C(CC3CCCC3)CCCC2C1C1CCCCC1
Cc1ccncc1N1[C@@H]2[C@H](CC1=O)N(CCN2C(=O)C)[C@H](O)c1cccs1,DOU-UNK-b53-3,857_ACL.0,0,,1590.4102911832001,O=C1CC2C(NCCN2Cc2cccs2)N1c1cccnc1,CC1CC2C(CC3CCCC3)CCCC2C1C1CCCCC1
